项目名称,项目ID,项目地点
延平区江滨中路至新建路片区老旧小区改造配套基础设施建设项目,273305,延平区
芗城区西北部片区乡村振兴产业配套基础设施项目-芗城区天宝镇石峰路道路建设工程施工招标公告,273304,市本级
政和县城乡供水一体化建设项目（二分区供水管网）,273303,政和县
永春县中医院住院综合楼（招标公告）,273295,永春县
安溪县凤山书院后山坡整治项目（招标公告）,273291,安溪县
G324线荔城区西天尾镇澄渚村至城厢区华亭镇濑溪村路面改造工程(K83+595-K102+450段路面改造工程）设计项目,273289,市本级
新建新步渠、新步排涝泵站及周边雨水收集系统等提升工程-新步渠及新步排涝泵站工程监理项目（招标公告）,273288,鲤城区
梅岭中片区配套道路工程第一标段（招标公告）,273284,晋江市
太平镇葫芦山村旅游品质提升,273283,延平区
武平县机动车驾驶考试场及停车场项目,273282,武平县
莲垵片区城中村改造配套基础设施—纬二路（招标公告）,273278,丰泽区
泉惠石化工业区2×660MW超超临界热电联产工程第三批辅机（脉冲清堵装置设备）设备采购项目（重新招标）（招标公告）,273277,惠安县
泰宁县上清溪水际小流域 2025年度省级水土流失综合治理项目（第二批）泰宁县上清溪水际小流域2025年度省级水土流失综合治理项目（第二批）（上青乡标段）、泰宁县上清溪水际小流域2025年度省级水土流失综合治理项目（第二批）（梅口乡标段）,273276,泰宁县
霞浦县公安局警务技能训练基地（一期）用房装修项目,273274,霞浦县
永春体育文化公共服务交流中心供配电工程（招标公告）,273268,永春县
清流县氟新材料产业园金星片区污水处理厂及配套附属设施工程监理,273267,清流县
渐美九年制学校基坑支护工程（施工）,273263,厦门市
九龙江防洪工程龙文段（三标段）工程招标公告,273260,市本级
漳州市九龙江流域长泰区坂里溪集镇段面源污染治理工程招标公告,273257,长泰县
福州江阴港城经济区公共租赁住房（D地块）项目（福州江阴港城经济区产业公寓四期项目）-永久性变配电工程-招标公告,273245,福清市
福州江阴港城经济区公共租赁住房（C地块）项目（福州江阴港城经济区产业公寓三期项目）-永久性变配电工程-招标公告,273244,福清市
邵武市旧城区供排水建设项目邵武市古城路中段雨污分流改造工程,273238,邵武市
南安市城镇污水处理提质增效近期一期工程--官桥镇污水管网工程（D段、FZ段）（招标公告）,273237,南安市
福州市公安局台江分局业务技术用房全过程咨询（重新招标）-招标公告,273232,台江区
上杭县才溪镇2024年高标准农田“五化”建设省级示范项目,273231,上杭县
美林街道美星村城中村治理道路及房前屋后改造工程（施工）,273226,厦门市
美林街道美星村城中村治理环境整治工程（施工）,273225,厦门市
莆田第一中学钟潭校区建设工程,273223,城厢区
石浔路（下溪头二路至环城南路）道路工程（施工）（重新招标）,273222,厦门市
尤溪县第八期老旧小区改造配套基础设施建设项目工程总承包,273221,尤溪县
沙县区大洲垃圾转运站改造工程设备采购,273219,沙县
党校路建设项目,273214,市本级
福安城北老旧小区改造项目（城北富春路茶叶街改造工程）茶街2侧立面改造及茶街两侧环境综合整治,273212,福安市
福安城北老旧小区改造项目（城北富春路茶叶街改造工程）茶街2侧立面改造及茶街两侧环境综合整治（监理）,273211,福安市
福建省木兰溪下游水生态修复与治理工程（干流段生态廊道工程绿道连通Ⅲ标）施工（重新招标）,273208,市本级
新圩镇农村道路整治工程（施工）,273206,厦门市
元新路（景观大道-福业路）道路工程（施工）（重新招标）-招标公告,273200,福清市
工业邻里中心项目（1#~10#楼及地下室）供配电工程,273187,市本级
罗源县卫健系统补短板建设项目一期-罗源县总医院中医分院搬迁项目（施工）-招标公告,273186,罗源县
2025年凤翔街道东界社区城中村现代化治理项目（施工）,273178,厦门市
福州市公路事业发展中心2024年新建国省道交通量自动观测站建设工程（第二批）及普通国省道重点巡查基础设施监控工程-招标公告,273174,福州市
泉州市宝洲污水厂片区污水提质增效工程—宝洲片区一期（田安路及丰泽街污水管道修复及混接改造工程）（招标公告）,273170,丰泽区
晋江市池店镇卫生院新院区周边配套道路工程（招标公告）,273164,晋江市
南平市延平区主城区排水涵洞改造工程设计,273162,延平区
永泰县霞拔乡敬老院提升改造项目-招标公告,273161,永泰县
顺昌县郑坊、洋墩小流域2025年度省级水土流失综合治理项目（第二批）,273153,顺昌县
连城朋口镇兰花产业带基础设施改造提升项目,273150,连城县
磁窑社区环境整治提升与道路改造工程（施工）,273146,厦门市
